abstract,author,title
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we consider, discuss, improve and complement recent fixed points results for so-called cyclical weaker Meir-Keeler functions, established by Chi-Ming Chen [Chi-Ming Chen, Fixed point theory for the cyclic weaker Meir-Keeler function in complete metric spaces, Fixed Point Theory Appl., 2012, 2012:17]. In fact, we prove that weaker Meir-Keeler notion is superuous in results.</div>
		<br>
		</div>",Author(s): Stojan Radenovic,Title: A Note on Fixed Point Theory for Cyclic Weaker Meir-Keeler Function in Complete Metric Spaces
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, continuity and boundedness results for the continuous  S-transform in BMO and Hardy spaces are obtained. Furthermore, the  continuous S-transform is also studied on the weighted BMO$_k$ and  weighted Hardy spaces associated with a tempered weight function which  was proposed by L. H\""ormander in the study of the theory of partial  differential equations.</div>
		<br>
		</div>","Author(s): Sunil Kumar Singh, Baby Kalita",Title: The S-Transform on Hardy Spaces and Its Duals
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, monotone iterative technique for nonlinear initial value  prob-lems involving the diﬀerence of two functions is developed. As an  application ofthis technique, existence of solution of nonlinear initial  value problems involvingthe diﬀerence of two functions is obtained.</div>
		<br>
		</div>",Author(s): J.A. Nanware,Title: Existence Result for Nonlinear Initial Value Problems Involving the Diﬀerence of Two Monotone Functions
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We study the stabilization of global solutions of the linear Kawahara equation (K) with periodic boundary conditions under the effect of a localized damping mechanism. The Kawahara equation is a model for small amplitude long waves. Using separation of variables, the Ingham inequality, multiplier techniques and compactness arguments we prove the exponential decay of the solutions of the (K) model.</div>
		<br>
		</div>","Author(s): Patricia N. da Silva, Carlos F. Vasconcellos",Title: On The Stabilization of the Linear Kawahara Equation with Periodic Boundary Conditions
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, using a generalized Jacobi-Dunkl translation operator, we prove an analog of Titchmarsh's theorem  for functions satisfying the Jacobi-Dunkl Lipschitz  condition in $ L^{2}(\R,A_{\alpha ,\beta}(t)dt), \alpha \geq \beta\geq-\frac{1}{2}, \alpha \neq -\frac{1}{2}.$</div>
		<br>
		</div>","Author(s): A. Abouelaz, A. Belkhadir, R. Daher","Title: An Analog of Titchmarsh's Theorem for the Jacobi-Dunkl Transform in the Space L2α,β(R)"
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We study some class of Dunkl multiplier operators Tk,ℓ,m; and we give for them an application of the theory of reproducing kernels to the Tikhonov regularization,which gives the best approximation of the operators Tk,ℓ,m on a Hilbert spaces Hskℓ.</div>
		<br>
		</div>",Author(s): Fethi Soltani,"Title: Best approximation of the Dunkl Multiplier Operators Tk,ℓ,m"
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Under a plausible geometric hypothesis, we show that a biholomorphic mappingof smoothly bounded, pseudoconvex domains extends to a diffeomorphism of the closures.</div>
		<br>
		</div>",Author(s): Steven G. Krantz,Title: Smoothness to the Boundary of Biholomorphic Mappings
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In the present paper, we consider asubclass of the function class $\Sigma$ of bi-univalent analytic functions in the open unit disk $\Delta$ associated with Hohlovoperator and we obtain the functional $|a_2a_4 - a_3^2|$ for the function class $\Sigma$. Our result gives corresponding $|a_2a_4 - a_3^2|$ for the subclasses of $\Sigma$ defined in the literature.</div>
		<br>
		</div>","Author(s): G. Murugusundaramoorthy, K. Vijaya",Title: Second Hankel Determinant for Bi-Univalent Analytic Functions Associated with Hohlov Operator
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we study hybrid fixed point of a modified two-step iteration process with errors for a pair of asymptotically quasi-nonexpansive mapping and asymptotically quasi-nonexpansive mapping in the intermediate sense in the framework of Banach spaces. Also we establish some strong convergence theorems and a weak convergence theorem for the iteration scheme and mappings. The results presented in this paper extend, improve and generalize some previous work from the existing literature.</div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: Convergence of Hybrid Fixed Point for a Pair of Nonlinear Mappings in Banach Spaces
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The aim of this article is to establish a △-convergence and some strong convergence theorems of modified two-step iterations for two nearly asymptotically nonexpansive mappings in the setting of hyperbolic spaces. Our results extend and generalize the previous work from the current existing literature.</div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: Strong and △-Convergence of Modified Two-Step Iterations for Nearly Asymptotically Nonexpansive Mappings in Hyperbolic Spaces
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Let S denote the class of analytic and univalent functions in the open unit disk D= {z:|z|&lt;1} with the normalization conditions. In the present article an upper bound for the second Hankel determinant |a₂a₄-a₃²| is obtained for the analytic functions defined by Ruscheweyh derivative.</div>
		<br>
		</div>",Author(s): T. Yavuz,Title: Second Hankel Determinant for Analytic Functions Defined by Ruscheweyh Derivative
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The present paper proposes a new monotone iteration principle for the existence as well as approximations of the coupled solutions for a coupled periodic boundary value problem of second order ordinary nonlinear differential equations. An algorithm for the coupled solutions is developed and it is shown that the sequences of successive approximations defined in a certain way converge monotonically to the coupled solutions of the related differential equations under some suitable hybrid conditions. A numerical example is also indicated to illustrate the abstract theory developed in the paper. We claim that the method as well as the results of this paper are new to literature on nonlinear analysis and applications.</div>
		<br>
		</div>",Author(s): Bapurao C. Dhage,Title: The Dhage Iteration Principle for Coupled PBVPs of Nonlinear Second Order Differential Equations
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>As in [1], we use the concept of wavelet transform on a locally compact group G to construct weighted Banach spaces H1w (G), we being a submultiple weight function on G. The main result of this paper provides an extension of a unitary mapping U from H(G1) to H(G2) under suitable conditions to an isomorphism between the Gelfand triple (H1w ;H;H1w )(G1)and (H1w;H;H1w )(G2); where G1; G2 are any two locally compact groups, H a Hilbert space and H1w is the space of all continuous-conjugate linear functional on H1w . This paper paves the way for the study of some other properties of Gelfand triples.</div>
		<br>
		</div>","Author(s): S.S. Pandey, Ashish Kumar",Title: Gelfand Triple Isomorphisms for Weighted Banach Spaces on Locally Compact Groups
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>By virtue of complex methods and tools, the authors express the famous Wallis formula as a sum involving binomial coefficients, establish the expansions for sink x and cosk x in terms of cos(mx), find the general formulas for the derivatives of sink x and cosk x, and recover the general multiple-angle formulas for sin(kx) and cos(kx), where k 2 N and m∈Z.</div>
		<br>
		</div>","Author(s): Bai-Ni Guo, Feng Qi",Title: On the Wallis Formula
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we give fixed point theorems for α − ψ−quasi contractions and α − ψ − p−quasi contractions in complete metric-like spaces.</div>
		<br>
		</div>",Author(s): Vildan Ozturk,Title: Fixed Point Theorems for α−ψ−Quasi Contractive Mappings in Metric-Like Spaces
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>To be able to refine the completion of C(H1, H2), the of set all closed densely defined linear operators between two Hilbert spaces  H1 and H2, we define in this paper some new strictly stronger metrics than the gap metric g and we characterize the closure with respect to theses metrics of the subset L(H1, H2) of bounded elements of C(H1, H2). In addition, several operator norm inequalities concerning the equivalence of some metrics on L(H1, H2) are presented. We also establish the semi-Fredholmness and Fredholmness of unbounded in terms of bounded pure contractions.</div>
		<br>
		</div>","Author(s): Mohammed Benharrat, Bekkai Messirdi",Title: Strong Metrizability for Closed Operators and the Semi-Fredholm Operators between Two Hilbert Spaces
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>This paper studies a class of generalized complex cubic polynomials of the form p(z)=(z-1)(z-r_1)^k(z-r_2)^k where r_1 and r_2 lie on the unit circle and k is a natural number.  We completely characterize where the nontrivial critical points of p can lie, and to what extent they determine the polynomial.   The main results include (1) a nontrivial critical point of such a polynomial almost always determines the polynomial uniquely, and (2) there is a `desert' in the unit disk in which critical points cannot occur.</div>
		<br>
		</div>",Author(s): Christopher Frayer,Title: Geometry of a Class of Generalized Cubic Polynomials
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this article, we prove a real Paley-Wiener theorem for the generalized Dunkl transform on R.</div>
		<br>
		</div>","Author(s): A. Abouelaz, A. Achak, R. Daher, El. Loualid",Title: A Real Paley-Wiener Theorem for the Generalized Dunkl Transform
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, using a generalized Jacobi-Dunkl translation operator, we obtain a generalization of Titchmarsh’s theorem for the Dunkl transform for functions satisfying the (φ,p)-Lipschitz Jacobi-Dunkl condition in the  space Lp(R,Aα,β(t)dt),α ≥ β ≥−1/2, α≠−1/2.</div>
		<br>
		</div>","Author(s): R. Daher, S. El Ouadih, A. Belkhadir","Title: Some Remarks Concerning the Jacobi-Dunkl Transform in the Space Lp(R,Aα,β(t)dt)"
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Using a generalized Jacobi-Dunkl translation, we obtain an analog of Theorem 5.2 in Younis paper [7] for the Jacobi-Dunkl transform for functions satisfying the (δ,γ)-Jacobi-Dunkl Lipschitz condition in the space L2(R,Aα,β(x)dx), α ≥ β ≥−1/2, α ≠−1/2.</div>
		<br>
		</div>","Author(s): R. Daher, S. El Ouadih","Title: (δ,γ)-Jacobi-Dunkl Lipschitz Functions in the Space L2(R,Aα,β(x)dx)"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper the author proves the algorithms for the existence as well as approximations of the solutions for the initial value problems of nonlinear fractional diﬀerential equations using the operator theoretic techniques in a partially ordered metric space. The main results rely on the Dhage iteration principle embodied in the recent hybrid ﬁxed point theorems of Dhage (2014) in a partially ordered normed linear space and the existence and approximations of the solutions of the considered nonlinear fractional diﬀerential equations are obtained under weak mixed partial continuity and partial Lipschitz conditions. Our hypotheses and existence and approximation results are also well illustrated by some numerical examples.</div>
		<br>
		</div>",Author(s): Bapurao C. Dhage,Title: A New Monotone Iteration Principle in the Theory of Nonlinear Fractional Differential Equations
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>Let H be a real Hilbert space. Let F,K : H → H be Lipschitz monotone mappings with Lipschtiz constants L1and L2, respectively. Suppose that the Hammerstein type equation u + KFu = 0 has a solution in H. It is our purpose in this paper to construct a new explicit iterative sequence and prove strong convergence of the sequence to a solution of the generalized Hammerstein type equation. The results obtained in this paper improve and extend known results in the literature.</p></div>
		<br>
		</div>","Author(s): Abebe R. Tufa, H. Zegeye, M. Thuto",Title: Iterative Solutions of Nonlinear Integral Equations of Hammerstein Type
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we introduce the $\alpha$-admissible mappings in the setting of cone metric spaces equipped with Banach algebra and solid cones. Our results generalize and extend several known results of metric and cone metric spaces. An example is presented which illustrates and shows the significance of results proved herein.</div>
		<br>
		</div>","Author(s): S.K. Malhotra, J.B. Sharma, Satish Shukla",Title: Fixed Points of α-Admissible Mappings in Cone Metric Spaces with Banach Algebra
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>A four times continuously differentiable complex valued function F = u + iv in a simply connected domain Ω is biharmonic if the laplacian of F is harmonic. Every biharmonic mapping F in Ω has the representation F = |z|^2 G + K, where G and K are harmonic in Ω. This paper investigates the relationship between the univalence of F and of K using the concept of linearly connected domains. </p></div>
		<br>
		</div>","Author(s): Zayid Abdulhadi, L. El Hajj",Title: Univalent Biharmonic Mappings and Linearly Connected Domains
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we consider a generalized Weinstein operator ∆d,α,n on Rd−1×]0,∞[, which generalizes the Weinstein operator ∆d,α, we define the generalized Weinstein intertwining operator Rα,n which turn out to be transmutation operator between ∆d,α,n and the Laplacian operator ∆d. We build the dual of the generalized Weinstein intertwining operatortRα,n, another hand we prove the formula related Rα,n andtRα,n . We exploit these transmutation operators to develop a new harmonic analysis corresponding to ∆d,α,n.</div>
		<br>
		</div>","Author(s): Ahmed Abouelaz, Azz-edine Achak, Radouan Daher, El Mehdi Loualid",Title: Harmonic Analysis Associated with the Generalized Weinstein Operator
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we prove the reverse of triangle inequality via Selberg's  inequalities in the framework of Hilbert  C*-modules.</div>
		<br>
		</div>","Author(s): Nordine Bounader, Abdellatif Abdellatif Chahbi, Samir Kabbaj",Title: Reverse of the Triangle Inequality in Hilbert  C*-Modules
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, using a generalized translation operator, we prove theestimates for the generalized Fourier-Dunkl transform in the space L2 on certainclasses of functions.</div>
		<br>
		</div>","Author(s): R. Daher, S. El Ouadih, M. El Hamma",Title: Dunkl Lipschitz functions for the Generalized Fourier-Dunkl Transform in the Space L2
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we prove the generalization of Titchmarshs theoremfor the Cherednik-Opdam transform for functions satisfying the (\psi; 2)-Cherednik-Opdam Lipschitz condition in the space L2.</div>
		<br>
		</div>","Author(s): S. El Ouadih, R. Daher",Title: Titchmarsh's Theorem for the Cherednik-Opdam Transform in the Space L2
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, using rest bounded variation sequences and head bounded variation sequences, some new results on approximation of functions (signals) by almost generalized Nörlund means of their Fourier series are obtained. To our best knowledge this the first time to use such classes of sequences on approximations of the type treated in this paper. In addition, several corollaries are derived from our results as well as those obtained previously by others.</div>
		<br>
		</div>",Author(s): Xhevat Z. Krasniqi,Title: Applications of Some Classes of Sequences on Approximation of Functions (Signals) by Almost Generalized Nörlund Means of Their Fourier Series
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>  <p>This paper is devoted to the investigation of the stability of the Weyl essential spectrum of closed densely dened linear operator A subjected to additive perturbation K such that (lambda-A-K)^{-1}K or K(lambda-A-K)^{-1} is a quasi-compact operator. The obtained results are used to describe the Weyl essential spectrum of singular neutron transport operator.</p></div>
		<br>
		</div>","Author(s): Leila Mebarki, Mohammed Benharrat, Bekkai Messirdi",Title: Quasi-Compact Perturbations of the Weyl Essential Spectrum and Application to Singular Transport Operators
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we establish the existence of at least three positive solutions for a system of (p,q)-Laplacian fractional order two-point boundary value problems by applying five functionals fixed point theorem under suitable conditions on a cone in a Banach space.</div>
		<br>
		</div>","Author(s): K.R. Prasad, B.M.B. Krushna, L.T. Wesen","Title: Existence of Positive Solutions for a Coupled System of (p, q)-Laplacian Fractional Higher Order Boundary Value Problems"
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we introduce an explicit iteration process and prove strong convergence of the scheme in a real Hilbert space $H$ to the common fixed point of finite family of total asymptotically nonexpansive mappings which is nearest to the point $u \in H$.  Our results improve previously known ones obtained for the class of asymptotically nonexpansive mappings. As application, iterative method for: approximation of solution of variational Inequality problem, finite family of continuous pseudocontractive mappings, approximation of solutions of classical equilibrium problems and approximation of solutions of convex minimization problems are proposed. Our theorems unify and complement many recently announced results.</div>
		<br>
		</div>","Author(s): E.U. Ofoedu, Agatha Chizoba Nnubia",Title: Convergence Theorem for Finite Family of Total Asymptotically Nonexpansive Mappings
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Let T be a completely regular topological space and C(T) be the space of bounded, continuous real-valued functions on T. C(T) is endowed with the strict topology (the topology generated by seminorms determined by continuous functions vanishing at in_nity). R. Giles ([13], p. 472, Theorem 4.6) proved in 1971 that the dual of C(T) can be identi_ed with the space of regular Borel measures on T. We prove this result for positive, additive set-valued maps with values in the space of convex weakly compact non-empty subsets of a Banach space and we deduce from this result the theorem of R. Giles ([13], theorem 4.6, p.473).</div>
		<br>
		</div>","Author(s): Anaté K. Lakmon, Kenny K. Siggini",Title: On The Integral Representation of Strictly Continuous Set-Valued Maps
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The aim of this paper is to introduce and characterize some new class of functions in a fuzzy topological space termed as ps-ro fuzzy open(closed) functions, ps-ro fuzzy pre semiopen functions and ps-ro fuzzy semi-homeomorphism. The interrelation among these concepts and also their relations with the parallel existing concepts are established. It is also shown with the help of examples that these newly introduced concepts are independent of the well known existing allied concepts.</div>
		<br>
		</div>","Author(s): Pankaj Chettri, Subodh Gurung, Khusboo Katwal",Title: ps-ro Fuzzy Open(Closed) Functions and ps-ro Fuzzy Semi-Homeomorphism
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this article, we give a new harmonic analysis associated with the generalized q-Bessel operator. We introduce the generalized $q$-Bessel transform, the generalized q-Bessel translation and the generalized $q$-Bessel convolution product.</p></div>
		<br>
		</div>","Author(s): Ahmed Abouelaz, Radouan Daher, El Mehdi Loualid",Title: Harmonic Analysis Associated with the Generalized q-Bessel Operator
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we are going to define a generalized Dini-Lipschitz class and give a characterization for functions belonging to by means of an asymptotic estimating growth of the norm of their Jacobi-Dunkl transforms.</div>
		<br>
		</div>","Author(s): A. Belkhadir, A. Abouelaz, R. Daher","Title: Characterization of (δ,γ)-Dini-Lipschitz Functions in Terms of Their Jacobi-Dunkl Transforms"
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we apply the modified HPM suggested by Momani and al. [23] for solving the time-fractional Fisher's equation and we use the classical HPM to derive numerical solutions of the space-fractional Fisher's equation. We compared our solution with the exact solution. The results show that the HPM modified is an appropriate method for solving nonlinear fractional derivative equations.</div>
		<br>
		</div>","Author(s): Mountassir Hamdi Cherif, Kacem Belghaba, Djelloul Ziane",Title: Homotopy Perturbation Method for Solving the Fractional Fisher's Equation
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>A subclass J_{p,\lambda}^{m,l}(\xi,\alpha) of p-valent analytic functions with a generalized multiplier transformation operator is introduced. We discuss the compactness as well as the extreme points of J_{p,\lambda}^{m,l}(\xi,\alpha) under the topology of uniform convergence. Finally, as one of the applications of extremal theorem, we solve the sharp distortion inequalities problem. Several related basic results and remarks about the old or new classes are also presented.</div>
		<br>
		</div>","Author(s): Liangpeng Xiong, Xiaoli Liu",Title: Applications of Extremal Theorem to a Class of p-Valent Analytic Functions
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we study modified SP-iteration scheme for three total asymptotically nonexpansive mappings and also establish some weak and strong convergence theorems for mentioned mappings and scheme to converge to common fixed points in the framework of Banach spaces. Our results extend and generalize the previous works from the current existing literature.</div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: On Weak and Strong Convergence Theorems of Modified SP-Iteration Scheme for Total Asymptotically Nonexpansive Mappings
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The purpose of this paper is to establish some fixed point theorems for a mapping having a monotone property satisfying a contractive condition of rational type in the partially ordered b-metric spaces. The results presented in the paper generalize and extend several well-known results in the literature. An example is given to support the usability of our results.</div>
		<br>
		</div>","Author(s): Reza Arab, Kolsoum Zare",Title: New Fixed Point Results for Rational Type Contractions in Partially Ordered b-Metric Spaces
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We give Fejer-Hadamard inequality for convex functions on coordinates in the rectangle from the plane. We define some mappings associated to it and discuss their properties.</div>
		<br>
		</div>","Author(s): G. Farid, M. Marwan, Atiq Ur Rehman",Title: Fejer-Hadamard Inequlality for Convex Functions on the Coordinates in a Rectangle from the Plane
